  | libreoffice-l10n-sr          | Serbian localization files for LibreOffice              | package
  | libreoffice-l10n-ss          | Swati localization files for LibreOffice                | package
  | libreoffice-l10n-st          | Southern_Sotho localization files for LibreOffice       | package
  | libreoffice-l10n-sv          | Swedish localization files for LibreOffice              | package
  | libreoffice-l10n-sw_TZ       | Swahili localization files for LibreOffice              | package
  | libreoffice-l10n-ta          | Tamil localization files for LibreOffice                | package
  | libreoffice-l10n-te          | Telugu localization files for LibreOffice               | package
  | libreoffice-l10n-tg          | Tajik localization files for LibreOffice                | package
  | libreoffice-l10n-th          | Thai localization files for LibreOffice                 | package
  | libreoffice-l10n-tn          | Tswana localization files for LibreOffice               | package
  | libreoffice-l10n-tr          | Turkish localization files for LibreOffice              | package
  | libreoffice-l10n-ts          | Tsonga localization files for LibreOffice               | package
  | libreoffice-l10n-tt          | Tatar localization files for LibreOffice                | package
  | libreoffice-l10n-ug          | Uyghur localization files for LibreOffice               | package
  | libreoffice-l10n-uk          | Ukrainian localization files for LibreOffice            | package
  | libreoffice-l10n-uz          | Uzbek localization files for LibreOffice                | package
  | libreoffice-l10n-ve          | Venda localization files for LibreOffice                | package
  | libreoffice-l10n-vec         | Venetian localization files for LibreOffice             | package
  | libreoffice-l10n-vi          | Vietnamese localization files for LibreOffice           | package
  | libreoffice-l10n-xh          | Xhosa localization files for LibreOffice                | package
  | libreoffice-l10n-zh_CN       | Simplified_Chinese localization files for LibreOffice   | package
  | libreoffice-l10n-zh_TW       | Traditional_Chinese localization files for LibreOffice  | package
  | libreoffice-l10n-zu          | Zulu localization files for LibreOffice                 | package


  | myspell-af_NA            | MySpell af_NA Dictionary                          | package
  | myspell-af_ZA            | MySpell af_ZA Dictionary                          | package
  | myspell-an               | MySpell an Dictionary                             | package
  | myspell-an_ES            | MySpell an_ES Dictionary                          | package
  | myspell-ar               | MySpell ar Dictionary                             | package
  | myspell-ar_AE            | MySpell ar_AE Dictionary                          | package
  | myspell-ar_BH            | MySpell ar_BH Dictionary                          | package
  | myspell-ar_DZ            | MySpell ar_DZ Dictionary                          | package
  | myspell-ar_EG            | MySpell ar_EG Dictionary                          | package
  | myspell-ar_IQ            | MySpell ar_IQ Dictionary                          | package
  | myspell-ar_JO            | MySpell ar_JO Dictionary                          | package
  | myspell-ar_KW            | MySpell ar_KW Dictionary                          | package
  | myspell-ar_LB            | MySpell ar_LB Dictionary                          | package
  | myspell-ar_LY            | MySpell ar_LY Dictionary                          | package
  | myspell-ar_MA            | MySpell ar_MA Dictionary                          | package
  | myspell-ar_OM            | MySpell ar_OM Dictionary                          | package
  | myspell-ar_QA            | MySpell ar_QA Dictionary                          | package
  | myspell-ar_SA            | MySpell ar_SA Dictionary                          | package
  | myspell-ar_SD            | MySpell ar_SD Dictionary                          | package
  | myspell-ar_SY            | MySpell ar_SY Dictionary                          | package
  | myspell-ar_TN            | MySpell ar_TN Dictionary                          | package
  | myspell-ar_YE            | MySpell ar_YE Dictionary                          | package
  | myspell-be_BY            | MySpell be_BY Dictionary                          | package
  | myspell-bg_BG            | MySpell bg_BG Dictionary                          | package
  | myspell-bn_BD            | MySpell bn_BD Dictionary                          | package
  | myspell-bn_IN            | MySpell bn_IN Dictionary                          | package
  | myspell-bo               | MySpell bo Dictionary                             | package
  | myspell-bo_CN            | MySpell bo_CN Dictionary                          | package
  | myspell-bo_IN            | MySpell bo_IN Dictionary                          | package
  | myspell-br_FR            | MySpell br_FR Dictionary                          | package
  | myspell-bs               | MySpell bs Dictionary                             | package
  | myspell-bs_BA            | MySpell bs_BA Dictionary                          | package
  | myspell-ca               | MySpell ca Dictionary                             | package
  | myspell-ca_AD            | MySpell ca_AD Dictionary                          | package
  | myspell-ca_ES            | MySpell ca_ES Dictionary                          | package
  | myspell-ca_ES_valencia   | MySpell ca_ES_valencia Dictionary                 | package
  | myspell-ca_FR            | MySpell ca_FR Dictionary                          | package
  | myspell-ca_IT            | MySpell ca_IT Dictionary                          | package
  | myspell-cs_CZ            | MySpell cs_CZ Dictionary                          | package
  | myspell-da_DK            | MySpell da_DK Dictionary                          | package
  | myspell-de               | MySpell de Dictionary                             | package
  | myspell-de_AT            | MySpell de_AT Dictionary                          | package
  | myspell-de_CH            | MySpell de_CH Dictionary                          | package
  | myspell-de_DE            | MySpell de_DE Dictionary                          | package
i | myspell-dictionaries     | A Source Package for Dictionaries Used by MySpell | package
  | myspell-el_GR            | MySpell el_GR Dictionary                          | package
i | myspell-en               | MySpell en Dictionary                             | package
  | myspell-en_AU            | MySpell en_AU Dictionary                          | package
  | myspell-en_BS            | MySpell en_BS Dictionary                          | package
  | myspell-en_BZ            | MySpell en_BZ Dictionary                          | package
  | myspell-en_CA            | MySpell en_CA Dictionary                          | package
  | myspell-en_GB            | MySpell en_GB Dictionary                          | package
  | myspell-en_GH            | MySpell en_GH Dictionary                          | package
